country,state_province,city,brewery_count
Australia,ACT,Fyshwick,4
Australia,ACT,Braddon,2
Australia,ACT,Gungahlin,1
Australia,NSW,Marrickville,12
Australia,NSW,Brookvale,6
Australia,NSW,Alexandria,4
Australia,NSW,Botany,4
Australia,NSW,South Murwillumbah,4
Australia,NSW,Armidale,3
Australia,NSW,Newtown,3
Australia,NSW,Port Macquarie,3
Australia,NSW,Saint Peters,3
Australia,NSW,Yenda,3
Australia,NSW,Bathurst,2
Australia,NSW,Clarence,2
Australia,NSW,Emu Plains,2
Australia,NSW,Erina,2
Australia,NSW,Forster,2
Australia,NSW,Gosford,2
Australia,NSW,Goulburn,2
Australia,NSW,Huskisson,2
Australia,NSW,Islington,2
Australia,NSW,Monteagle,2
Australia,NSW,Morisset,2
Australia,NSW,Mudgee,2
Australia,NSW,North Bondi,2
Australia,NSW,Pokolbin,2
Australia,NSW,Rozelle,2
Australia,NSW,Surry Hills,2
Australia,NSW,The Rocks,2
Australia,NSW,Tumut,2
Australia,NSW,Uralla,2
Australia,NSW,Woolgoolga,2
Australia,NSW,Aberglasslyn,1
Australia,NSW,Artarmon,1
Australia,NSW,Ballina,1
Australia,NSW,Bangalow,1
Australia,NSW,Bankstown,1
Australia,NSW,Beresfield,1
Australia,NSW,Bilpin,1
Australia,NSW,Bobs Farm,1
Australia,NSW,Bowan Park,1
Australia,NSW,Broadmeadow,1
Australia,NSW,Broulee,1
Australia,NSW,Bulli,1
Australia,NSW,Byron Bay,1
Australia,NSW,Camperdown,1
Australia,NSW,Caringbah,1
Australia,NSW,Coffs Harbour,1
Australia,NSW,Cudgen,1
Australia,NSW,Dalmeny,1
Australia,NSW,Deepwater,1
Australia,NSW,Dubbo,1
Australia,NSW,Enmore,1
Australia,NSW,Fairy Meadow,1
Australia,NSW,Five Dock,1
Australia,NSW,Gerringong,1
Australia,NSW,Gladesville,1
Australia,NSW,Glebe,1
Australia,NSW,Grafton,1
Australia,NSW,Hornsby,1
Australia,NSW,Kincumber,1
Australia,NSW,Kirrawee,1
Australia,NSW,Lambton,1
Australia,NSW,Lidcombe,1
Australia,NSW,Lilyfield,1
Australia,NSW,Lord Howe Island,1
Australia,NSW,Mittagong,1
Australia,NSW,Mona Vale,1
Australia,NSW,Mullumbimby,1
Australia,NSW,Murwillumbah,1
Australia,NSW,Narellan,1
Australia,NSW,Narooma,1
Australia,NSW,Newcastle,1
Australia,NSW,North Parramatta,1
Australia,NSW,North Richmond,1
Australia,NSW,Orange,1
Australia,NSW,Penrith,1
Australia,NSW,Rosebery,1
Australia,NSW,South Albury,1
Australia,NSW,South Kempsey,1
Australia,NSW,South Lismore,1
Australia,NSW,South Nowra,1
Australia,NSW,Stony Creek,1
Australia,NSW,Tarrawanna,1
Australia,NSW,Townsend,1
Australia,NSW,Tumbarumba,1
Australia,NSW,Unanderra,1
Australia,NSW,Warriewood,1
Australia,NSW,Wollongong,1
Australia,NSW,Woodburn,1
Australia,NSW,Yamba,1
Australia,NT,Coconut Grove,1
Australia,NT,Marrakai,1
Australia,NT,Ross,1
Australia,QLD,Burleigh Heads,5
Australia,QLD,Salisbury,4
Australia,QLD,Yeerongpilly,3
Australia,QLD,Albion,2
Australia,QLD,Cairns City,2
Australia,QLD,Currumbin Waters,2
Australia,QLD,Domestic Airport,2
Australia,QLD,Fortitude Valley,2
Australia,QLD,Milton,2
Australia,QLD,Morningside,2
Australia,QLD,Noosaville,2
Australia,QLD,Tamborine Mountain,2
Australia,QLD,Toowoomba City,2
Australia,QLD,Warana,2
Australia,QLD,Woolloongabba,2
Australia,QLD,Arundel,1
Australia,QLD,Ashmore,1
Australia,QLD,Atherton,1
Australia,QLD,Banyo,1
Australia,QLD,Brendale,1
Australia,QLD,Brisbane City,1
Australia,QLD,Bulimba,1
Australia,QLD,Burpengary,1
Australia,QLD,Capalaba,1
Australia,QLD,Cooran,1
Australia,QLD,Coorparoo,1
Australia,QLD,Dunwich,1
Australia,QLD,Eagleby,1
Australia,QLD,East Brisbane,1
Australia,QLD,Edmonton,1
Australia,QLD,Forest Glen,1
Australia,QLD,Garbutt,1
Australia,QLD,Gladstone Central,1
Australia,QLD,Hidden Valley,1
Australia,QLD,Highfields,1
Australia,QLD,Ipswich,1
Australia,QLD,Kuluin,1
Australia,QLD,Kunda Park,1
Australia,QLD,Maleny,1
Australia,QLD,Marcoola,1
Australia,QLD,Miami,1
Australia,QLD,Moffat Beach,1
Australia,QLD,Mooloolaba,1
Australia,QLD,Newstead,1
Australia,QLD,North Arm,1
Australia,QLD,Northgate,1
Australia,QLD,Petrie Terrace,1
Australia,QLD,Picnic Bay,1
Australia,QLD,Rural View,1
Australia,QLD,Scarborough,1
Australia,QLD,Smithfield,1
Australia,QLD,South Townsville,1
Australia,QLD,Stafford,1
Australia,QLD,Stapylton,1
Australia,QLD,Teneriffe,1
Australia,QLD,Townsville City,1
Australia,QLD,Warwick,1
Australia,QLD,West End,1
Australia,QLD,Wynnum,1
Australia,QLD,Yeppoon,1
Australia,SA,Adelaide,3
Australia,SA,McLaren Flat,3
Australia,SA,Port Adelaide,3
Australia,SA,Willunga,3
Australia,SA,McLaren Vale,2
Australia,SA,Port Lincoln,2
Australia,SA,Royal Park,2
Australia,SA,Stepney,2
Australia,SA,Aldinga,1
Australia,SA,Bowden,1
Australia,SA,Brooklyn Park,1
Australia,SA,Findon,1
Australia,SA,Gawler River,1
Australia,SA,Glynde,1
Australia,SA,Langhorne Creek,1
Australia,SA,Laura,1
Australia,SA,Lobethal,1
Australia,SA,Lonsdale,1
Australia,SA,Lyndoch,1
Australia,SA,Minlaton,1
Australia,SA,Mount Gambier,1
