state_province,unique_brewery_types
Washington,11
Wisconsin,9
Maryland,8
Texas,8
Oregon,8
Colorado,8
California,8
Missouri,8
Tennessee,8
Ohio,8
Pennsylvania,7
Massachusetts,7
Florida,7
Illinois,7
Georgia,7
New York,7
North Carolina,7
Alaska,7
New Hampshire,7
New Jersey,6
New Mexico,6
Virginia,6
Minnesota,6
Connecticut,6
Arizona,6
Idaho,6
Indiana,6
Maine,6
South Carolina,6
South Dakota,6
West Virginia,6
District of Columbia,6
Alabama,5
Louisiana,5
Wyoming,5
Nevada,5
Montana,5
North Dakota,5
Kentucky,5
Hawaii,5
Kansas,5
Utah,5
British Columbia,5
Delaware,5
Michigan,5
Oklahoma,5
Arkansas,4
Nebraska,4
Cork,4
Iowa,4
East Sussex,4
Dublin,4
Bolzano,4
Vermont,4
Mississippi,4
Rhode Island,4
Berlin,3
Singapore,3
Steiermark,3
Western Cape,3
dolnośląskie,3
VIC,3
West Sussex,3
Donegal,2
Aveiro,2
Busan,2
Chungcheongnamdo,2
Eastern Cape,2
Kerry,2
Gauteng,2
Galway,2
Lisboa,2
Gyeongsangbukdo,2
Gyeonggido,2
Kilkenny,2
Oberösterreich,2
Free State,2
SA,2
TAS,2
WA,2
Wicklow,2
Porto,2
NSW,2
KwaZulu-Natal,2
Osaka,2
QLD,2
North West,2
K�rnten,2
ACT,1
Beja,1
Argyll,1
Clare,1
Coimbra,1
Daejeon,1
Chungcheongbukdo,1
Bute,1
Carlow,1
East Dunbartonshire,1
Dnipropetrovsk Oblast,1
Faro,1
Deagu,1
Bouche du Rhône,1
Blekinge,1
Jeollabukdo,1
Gangwondo,1
Louth,1
MIssouri,1
Limpopo,1
Longford,1
Kildare,1
Laois,1
Leiria,1
Limerick,1
Jejudo,1
Halland,1
Gwangju,1
Gyeongsangnamdo,1
Jeollanamdo,1
Incheon,1
Mayo,1
NT,1
Portalegre,1
Offaly,1
Nieder�sterreich,1
Meath,1
Middle,1
Monaghan,1
Mpumalanga,1
Roscommon,1
Tipperary,1
Salzburg,1
Seoul,1
Sligo,1
West Dunbartonshire,1
Waterford,1
Wexford,1
Westmeath,1
