city,state_province,country,brewery_count
Denver,Colorado,United States,92
San Diego,California,United States,91
Portland,Oregon,United States,85
Seattle,Washington,United States,85
Chicago,Illinois,United States,64
Austin,Texas,United States,49
Houston,Texas,United States,40
San Francisco,California,United States,39
Minneapolis,Minnesota,United States,39
Cincinnati,Ohio,United States,34
Columbus,Ohio,United States,33
Singapore,Singapore,Singapore,33
Indianapolis,Indiana,United States,33
Albuquerque,New Mexico,United States,32
Spokane,Washington,United States,31
Charlotte,North Carolina,United States,31
Milwaukee,Wisconsin,United States,31
Cleveland,Ohio,United States,29
Saint Louis,Missouri,United States,28
Asheville,North Carolina,United States,27
