id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,processed_at
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,closed,1304 Scott St Ste D,Petaluma,California,94954-7100,United States,-122.665055,38.27029381,7077534934,http://www.101northbeer.com,California,2026-02-22 21:29:36
e54c2f02-acd6-4172-861d-fcfa54c8701a,122 West Brewing Co,closed,2416 Meridian St,Bellingham,Washington,98225-2405,United States,-122.485982,48.7621709,3603063285,https://www.122westbrew.com/,Washington,2026-02-22 21:29:36
e05dc493-284f-4ece-995e-19899398f077,238 Brewing Company,closed,10321 E Day Mt Spokane Rd,Mead,Washington,99021,United States,,,5092382739,http://www.238brewing.com,Washington,2026-02-22 21:29:36
bd8b76ca-a70a-4363-96cb-24f1d0118a74,3 Stars Brewing Co,closed,6400 Chillum Pl NW Ste B,Washington,District of Columbia,20012-2111,United States,,,2026700333,http://www.3starsbrewing.com,District of Columbia,2026-02-22 21:29:36
6c5dabed-6a59-4610-abc9-b1e958393186,30 Mile Brewing Co.,closed,39 Ragged Rock Rd Unit 5,Old Saybrook,Connecticut,06475-1518,United States,,,8603395238,http://www.30milebrewingco.com,Connecticut,2026-02-22 21:29:36
257e9aac-7dbe-4656-b366-9d8a94c49d58,5 North Brewing Company,closed,6501 N Cedar Rd,Spokane,Washington,99208,United States,-117.4328496,47.71758683,5093217818,http://5northbrewingcompany.com/,Washington,2026-02-22 21:29:36
66a91db6-7d2a-4d67-a720-7f924cae3571,7th Settlement Brewery,closed,47 Washington St,Dover,New Hampshire,03820-3877,United States,-70.8728379,43.1953787,6033731001,http://www.7thsettlement.com,New Hampshire,2026-02-22 21:29:36
2fe1e670-d832-4ba5-b957-f86a09ee062d,Acoustic Ales Brewing Experiment,closed,1795 Hancock St Ste P1,San Diego,California,92110-2006,United States,-117.1840465,32.74219079,6192992537,http://www.acousticales.com,California,2026-02-22 21:29:36
0d0f85e7-bc2d-44fc-bf27-4f14e5d6136a,Adam's Northwest Bistro / Twin Rivers Brewing,closed,104 N Lewis St,Monroe,Washington,98272-1502,United States,-121.970887,47.85588471,3607944056,http://www.adamsnwbistro.com,Washington,2026-02-22 21:29:36
f1ed5260-13cb-4f22-a4ac-0e1f7f676a12,"Agrarian Ales, LLC",closed,31115 W Crossroads Ln,Eugene,Oregon,97408-9220,United States,-123.1277712,44.18922784,5416323803,http://www.agales.com,Oregon,2026-02-22 21:29:36
b9f4f532-15df-4a50-b15e-e5cd5d41977b,Aigean Ales,closed,250 Commercial St Ste 2001,Manchester,New Hampshire,03101-1165,United States,-71.46899187,42.9899594,6035188550,,New Hampshire,2026-02-22 21:29:36
9737bf0c-b29e-49d7-9778-3951072eb147,Airways Brewing Co,closed,8611 S 212th St,Kent,Washington,98031-1910,United States,-122.2391026,47.4119802,2532001707,http://www.airwaysbrewing.com,Washington,2026-02-22 21:29:36
d9578437-2aa8-45ab-97f2-cf6f7074d9af,Airways Brewing Co. Bistro & Beer Garden,closed,320 W Harrison St,Kent,Washington,98032-4476,United States,-122.235649,47.382498,2532368632,http://airwaysbrewing.com/bistro-beer-garden/,Washington,2026-02-22 21:29:36
797c9175-fb51-44d3-ad4b-d46b42367fdc,Ale Spike,closed,9300 271st St NW Ste B-5,Stanwood,Washington,98292,United States,,,,http://www.alespike.com,Washington,2026-02-22 21:29:36
d8dd6a64-c201-471f-a0a1-0fc8d04b5b49,Alpine Brewing Co,closed,821 14th Ave,Oroville,Washington,98844,United States,-119.4305306,48.9365877,5094769662,http://www.alpine-brewing.com,Washington,2026-02-22 21:29:36
29c900c4-16b4-45ef-b688-061ed0fe8bd4,American Brewing Company,closed,180 W Dayton St Ste 102,Edmonds,Washington,98020-4127,United States,,,4257741717,http://www.americanbrewing.com,Washington,2026-02-22 21:29:36
6fad664c-ba6d-4ac1-be03-408cc65ab70a,Andina Brewing Company,closed,1507 Powell Street,Vancouver,British Columbia,V5L 1S3,Canada,-123.0737942,49.2833907,,,British Columbia,2026-02-22 21:29:36
b26623c7-5291-4492-b876-66c2d970c275,Another Round Brewing Co,closed,745 N Grand Ave,Pullman,Washington,99163-3151,United States,-117.175392,46.736755,9164757580,https://anotherroundbrewery.com,Washington,2026-02-22 21:29:36
799a4fc7-16fb-40e7-9fd5-4664da3976f3,Ashuelot Brewing Company,closed,101 Old County Rd,Richmond,New Hampshire,03470-4918,United States,-72.23236816,42.75946232,,,New Hampshire,2026-02-22 21:29:36
60195a53-786c-4540-ae1d-a3bbca7a41fd,Aspetuck Brew Lab,closed,3389 Fairfield Avenue,Bridgeport,Connecticut,06605,United States,-73.2357109,41.1544649,2032539423,http://www.aspetuckbrewlab.com,Connecticut,2026-02-22 21:29:36
d94c95b9-509c-4d53-86a6-769555e1773e,Astro Lab Brewing,closed,8216 Georgia Ave,Silver Spring,Maryland,20910,United States,-77.029129,38.9465532,3012739684,http://www.astrolabbrewing.com,Maryland,2026-02-22 21:29:36
aa0195bf-8258-4262-89c4-af8a89793822,Atwood Ales,closed,4012 Sweet Rd,Blaine,Washington,98230-9108,United States,-122.6990459,48.97900614,3603996239,http://www.atwoodales.com,Washington,2026-02-22 21:29:36
bd7e4765-9179-47b5-8888-219d1af19fe1,Audacity Brewing,closed,1208 10th St Ste C,Snohomish,Washington,98290,United States,-122.0966776,47.925023,3602948742,http://www.audacitybrewing.com,Washington,2026-02-22 21:29:36
e6df4e9e-1833-49b0-90e5-69c565c5da83,Back Creek Brewing Company,closed,,Annapolis,Maryland,21401-4019,United States,,,4103206904,http://www.backcreekbrewing.com,Maryland,2026-02-22 21:29:36
b617c420-3a48-41f3-a529-68dccd1e253f,Backshore Brewing Co.,closed,913 Atlantic Ave,Ocean City,Maryland,21842-6689,United States,-75.0803756,38.3402519,4102890008,http://www.BackshoreBrew.com,Maryland,2026-02-22 21:29:36
d493c084-8f5c-4e04-994b-ddc55fcd3959,Bad Bulldogs Brewery,closed,941 N Callow Ave,Bremerton,Washington,98312,United States,-122.6533736,47.56963921,3606278079,,Washington,2026-02-22 21:29:36
bbda5eb0-95cd-4b87-88ac-7b0e2bd01c48,Bad Jimmy's Brewing Co,closed,4358B Leary Way NW,Seattle,Washington,98107-4554,United States,-122.3653569,47.66133224,2067891548,http://www.badjimmysbrewingco.com,Washington,2026-02-22 21:29:36
7ecfcf55-8bc1-4744-9a2c-7feaa99290b0,Bad Lab Beer Co.,closed,460 High St,Somersworth,New Hampshire,03878-1012,United States,-70.88353777,43.22651432,6033192436,http://www.badlabbeer.com,New Hampshire,2026-02-22 21:29:36
4f49473d-22aa-4f44-b69c-2d7f95d76abd,Badger Mountain Brewing,closed,1 Orondo Ave,Wenatchee,Washington,98801-2206,United States,-120.309353,47.423747,5098882234,http://www.badgermountainbrewing.com,Washington,2026-02-22 21:29:36
063107cd-7134-41d9-b44e-f75439937878,Band of Brothers Brewing Company,closed,1605 23rd Ave,Tuscaloosa,Alabama,35401-4653,United States,-87.56215513,33.19849071,2052665137,http://www.bandofbrosbrewing.com,Alabama,2026-02-22 21:29:36
9e12b6a6-9445-4a29-818c-4b96dbd30f55,Banjo Brewing,closed,,Fayetteville,West Virginia,25840,United States,,,3042164231,,West Virginia,2026-02-22 21:29:36
08fffdf5-41f6-4445-a9a5-63d4927dc366,Baranof Island Brewing Co,closed,1209 Sawmill Creek Rd Ste A,Sitka,Alaska,99835-9759,United States,-135.309951,57.049586,9077472739,http://www.baranofislandbrewing.com,Alaska,2026-02-22 21:29:36
082f06b4-93bc-4683-9223-5b64103413e8,Bardo Brewpub,closed,25 Potomac Ave SE,Washington,District of Columbia,20003-3670,United States,-77.00658302,38.87165373,7622337070,http://www.bardo.beer,District of Columbia,2026-02-22 21:29:36
fbb7714c-4583-4d4d-96f4-369b4515476d,Barley Forge Brewing,closed,2957 Randolph Ave Ste B,Costa Mesa,California,92626-4375,United States,-117.8880183,33.67903294,7146412084,http://www.barleyforge.com,California,2026-02-22 21:29:36
5e10fcfc-9724-4622-a95d-da266c8628ee,Barley Johns Brewpub,closed,1280 Madison Ave,New Richmond,Wisconsin,54017-2236,United States,,,7152464677,http://www.barleyjohnsbrewery.com,Wisconsin,2026-02-22 21:29:36
c4ed1b9c-3e81-4419-bc5b-789c3f4f53e8,Barlows Brewery,closed,705 SE Park Crest Ave Suite D430,Vancouver,Washington,98683,United States,-122.5216242,45.6177956,3608593795,https://www.barlowsbrewery.com,Washington,2026-02-22 21:29:36
9e1dfd14-4289-47ec-9362-362b7f8ed000,BarmHaus Brewing Co,closed,3782 Winding Creek Ln,Garden Valley,California,95633-9773,United States,-120.8784951,38.8402775,5304440478,http://barmhausco.com,California,2026-02-22 21:29:36
cbce47ad-2da8-4de9-806f-9c8e3fb39f76,Beerded Brothers Brewing,closed,106 W 6th St,Vancouver,Washington,98660,United States,-122.6718911,45.62576802,3606065806,http://www.beerdedbrothers.net,Washington,2026-02-22 21:29:36
