id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,processed_at
6d14b220-8926-4521-8d19-b98a2d6ec3db,10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,United States,-121.281706,44.08683531,5415851007,http://www.10barrel.com,Oregon,2026-02-22 21:29:36
e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,United States,-121.3288021,44.0575649,5415851007,,Oregon,2026-02-22 21:29:36
e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,United States,-122.6855056,45.5259786,5032241700,http://www.10barrel.com,Oregon,2026-02-22 21:29:36
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,United States,-117.129593,32.714813,6195782311,http://10barrel.com,California,2026-02-22 21:29:36
9f1852da-c312-42da-9a31-097bac81c4c0,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,United States,-121.2809536,44.0912109,5415851007,,Oregon,2026-02-22 21:29:36
ea4f30c0-bce6-416b-8904-fab4055a7362,10 Barrel Brewing Co - Boise,large,826 W Bannock St,Boise,Idaho,83702-5857,United States,-116.202929,43.618516,2083445870,http://www.10barrel.com,Idaho,2026-02-22 21:29:36
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,United States,-104.9853655,39.7592508,7205738992,,Colorado,2026-02-22 21:29:36
cbcca8ac-55f6-47cb-967f-1a77dfa959e5,4 Pines,large,,Richmond,VIC,3121,Australia,144.9901574,-37.824664,,,VIC,2026-02-22 21:29:36
25809e1c-0c76-498b-8a57-d6b85ff24c3c,Anchor Brewing Co,large,1705 Mariposa St,San Francisco,California,94107-2334,United States,-122.4011065,37.7630772,4158638350,http://www.anchorbrewing.com,California,2026-02-22 21:29:36
d1a61260-d377-4e7d-8ce9-8851e30934ae,Anheuser-Busch InBev,large,1 Busch Pl,Saint Louis,Missouri,63118-1849,United States,-90.2118998,38.5954536,3145772000,http://www.anheuser-busch.com,Missouri,2026-02-22 21:29:36
12bc86df-c66b-4fb9-9f84-5bb405ccb8b1,Anheuser-Busch Inc - Fort Collins,large,2351 Busch Dr,Fort Collins,Colorado,80524-9400,United States,-105.0019686,40.61817811,9704904500,,Colorado,2026-02-22 21:29:36
7d78f227-f2c5-4830-abb5-28a209de235d,Anheuser-Busch Inc - Los Angeles,large,15800 Roscoe Blvd,Van Nuys,California,91406-1350,United States,-118.4721072,34.2213918,8189895300,,California,2026-02-22 21:29:36
baec5c2d-a983-49e0-beb9-ca55879d4139,Anheuser-Busch Inc â Baldwinsville,large,2885 Belgium Rd,Baldwinsville,New York,13027-2706,United States,-76.31159343,43.16510925,3156354000,,New York,2026-02-22 21:29:36
6599a1de-d497-4e4f-bf3d-16d5065fefec,Anheuser-Busch Inc â Cartersville,large,100 Busch Dr NE,Cartersville,Georgia,30121-7217,United States,,,7703862000,,Georgia,2026-02-22 21:29:36
2360f91c-60cb-402c-ad58-3eb638859f4c,Anheuser-Busch Inc â Columbus,large,700 Schrock Rd,Columbus,Ohio,43229-1123,United States,-82.99307,40.102197,6148886644,,Ohio,2026-02-22 21:29:36
2f7efc38-d4fd-47fc-bc1e-4b506fb6e66c,Anheuser-Busch Inc â Fairfield,large,3101 Busch Dr,Fairfield,California,94534-9726,United States,-122.0902992,38.2365838,7074292000,,California,2026-02-22 21:29:36
34dd23fd-b208-4a7b-b4d2-3488b20e618f,Anheuser-Busch Inc â Houston,large,775 Gellhorn Dr,Houston,Texas,77029-1496,United States,-95.27130674,29.771858,7136752311,,Texas,2026-02-22 21:29:36
a7e9194f-28a7-4fb8-85fb-38ee669b66e6,Anheuser-Busch Inc â Jacksonville,large,111 Busch Dr,Jacksonville,Florida,32218-5546,United States,-81.6481156,30.4319552,9047510700,,Florida,2026-02-22 21:29:36
c1e8a479-5371-44bb-a952-b76b60997a9e,Anheuser-Busch Inc â Merrimack,large,221 Daniel Webster Hwy,Merrimack,New Hampshire,03054-4807,United States,-71.48598162,42.8253635,6038896631,,New Hampshire,2026-02-22 21:29:36
5486bf95-fcc8-4829-854f-2cc5779e7212,Anheuser-Busch Inc â Newark,large,200 US Highway 1,Newark,New Jersey,07114-2298,United States,,,9736457700,http://www.anheuser-busch.com,New Jersey,2026-02-22 21:29:36
