id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,processed_at
d6e77d51-2fa2-44cb-89b3-c94bf1dc77df,28th State Brewing,planning,,Houston,Texas,77095-6933,United States,,,,https://www.instagram.com/28thstatebrew/?hl=en,Texas,2026-02-22 21:29:36
53305a0f-9b51-4f73-bf5e-88bb0439b216,380 Brewing Company,planning,,Clancy,Montana,59634,United States,,,2065796509,,Montana,2026-02-22 21:29:36
d4c7fb43-6671-4597-8cdd-e938d751aca2,400 North Brewing,planning,,Sugarhill,Georgia,30518-7916,United States,,,4047911119,http://400northbrewing.com,Georgia,2026-02-22 21:29:36
b7f2ebb8-6764-4654-a98b-246724c8952a,411 Broadway Ales,planning,,Fresno,California,93721-2801,United States,-119.7088613,36.7295295,5412706076,,California,2026-02-22 21:29:36
2af85509-aee5-46bc-ab1a-fd9b8b0026d4,5 Rivers Brewing LLC,planning,,Spanish Fort,Alabama,36527-3161,United States,-87.9152724,30.6749127,2516897483,http://5riversbrewing.com,Alabama,2026-02-22 21:29:36
eaf55668-8444-4e4f-80c2-b9f32f7e4d83,5th Element Brewing,planning,,Leander,Texas,78641-4009,United States,,,9156378199,,Texas,2026-02-22 21:29:36
849d5961-83c5-4115-9ae4-c0e93c8d3a7f,5x5 Brewing Co.,planning,,Mission,Texas,78572-6215,United States,,,9565291353,http://www.5x5brewing.com,Texas,2026-02-22 21:29:36
e2bb50c4-260f-4f42-8306-392f7bd5f4ba,6 & 40 Brewery/Taproom,planning,,Lakewood,Colorado,80215-5548,United States,-105.1100582,39.6311085,3032325347,http://www.tomsbrewshop.com,Colorado,2026-02-22 21:29:36
76ee21a3-d4bd-4526-9ef8-5a23a4507566,6 Bridges Brewing,planning,,Johns Creek,Georgia,30097,United States,,,7708460292,http://www.sixbridgesbrewing.com,Georgia,2026-02-22 21:29:36
1682e94f-73ba-4035-93be-1fb28bb2cee7,8th Ward Brewing Company,planning,,Poughkeepsie,New York,12603-3401,United States,,,,,New York,2026-02-22 21:29:36
42598f85-f02e-474c-9154-0aa4f1d932be,9th Hour Brewing Company LLC,planning,,Spring Grove,Illinois,60081-9459,United States,,,,,Illinois,2026-02-22 21:29:36
88a7ac77-a52b-4496-91df-b41e5831a568,A Little Madness Brewing Company,planning,,Pensacola,Florida,32514-8122,United States,,,,http://www.ALittleMadnessBrewingCompany.com,Florida,2026-02-22 21:29:36
e77c24b4-8b21-4d28-a9c0-568623b77cd9,Aero Craft Brewing,planning,,Denver,Colorado,80212-2199,United States,-104.984696,39.7391428,3039185446,http://www.aerocraft.beer,Colorado,2026-02-22 21:29:36
1844257e-dab7-421d-9a9e-f594a3943b2f,Against the Grain Beer Garden,planning,,Louisville,Kentucky,40217,United States,,,,,Kentucky,2026-02-22 21:29:36
85c7bc77-387c-449f-8091-6c694b35077c,Agonic Brewing Company LLC,planning,,Rice Lake,Wisconsin,54868-8786,United States,-91.732284415498,45.502184424793,7153089283,http://www.agonicbrewing.com,Wisconsin,2026-02-22 21:29:36
06ac0316-a30f-40c6-acb7-c08fea0c30b1,Akwesasne Mohawk Casino Resort,planning,,Akwesasne,New York,13655-1800,United States,,,5183582222,http://mohawkcasino.com,New York,2026-02-22 21:29:36
943f1201-9c0d-4717-95e3-0756a906f527,Albright Grove Brewing Company,planning,,Townsend,Tennessee,37882,United States,,,8656049898,,Tennessee,2026-02-22 21:29:36
b1f7a6c5-a4e0-477b-a380-17f8a0120e2d,"Alcazar Brewery, LLC.",planning,,Rio Grande City,Texas,78582-4450,United States,,,,,Texas,2026-02-22 21:29:36
f1e3ff3e-078c-46c3-85ae-62f86d3a3a21,Alematic Artisan Ales,planning,,Huber Heights,Ohio,45424-3857,United States,,,9376122337,http://www.alematicbrewing.com,Ohio,2026-02-22 21:29:36
a580bbc1-343c-4213-968d-6f332755f739,Ambitious Ales,planning,,Long Beach,California,90807-2907,United States,-118.1580493,33.78538945,7142962550,http://www.ambitiousales.com,California,2026-02-22 21:29:36
045441f8-1882-4960-9e4d-0a32d24625e6,Americana Brewery,planning,,Fort Lauderdale,Florida,33328-1606,United States,,,,,Florida,2026-02-22 21:29:36
bdc1beb9-2832-4c44-aa63-289726c3a13f,Anawan Brewing Company,planning,,Dighton,Massachusetts,02764,United States,,,7742296300,http://www.anawanbrewingco.com,Massachusetts,2026-02-22 21:29:36
a7e8257d-956d-46ca-81f4-33d1b6a13fc8,"Angelina Brewing Company, LLC.",planning,,Lufkin,Texas,75904-7550,United States,,,3168419327,,Texas,2026-02-22 21:29:36
236cb5e3-d827-453a-a3a4-5a4d59d87adf,Ankrolab Brewing Company,planning,,Naples,Florida,34112-6363,United States,,,2394511223,http://ankrolab.com,Florida,2026-02-22 21:29:36
61239a88-ebee-45d3-9794-12860e11259c,Aquatic Brewing LLC,planning,,Falmouth,Massachusetts,02540-3299,United States,,,5084442155,http://www.aquaticbrewing.com,Massachusetts,2026-02-22 21:29:36
e37a575c-5e11-4a2f-8e58-8fcce92e78ac,"Aransas Pass Brewing Company, LLC",planning,,Aransas Pass,Texas,78336-1920,United States,,,,,Texas,2026-02-22 21:29:36
e38d5dc2-4bf9-4627-b468-922baaa621ab,Arbeiter Brewing Company,planning,,Minneapolis,Minnesota,55418-2325,United States,,,,http://www.arbeiterbrewing.com,Minnesota,2026-02-22 21:29:36
0b0b64c0-f10c-4252-8243-e5b9255e0b95,"Ardent Spirits, Inc",planning,,Collinsville,Illinois,62234,United States,,,13143235530,http://Ardentspirits.com,Illinois,2026-02-22 21:29:36
1d34d7cf-c2ce-4e07-aec2-930d3299c584,Artisan Owl Brewing Company,planning,,Ocean City,New Jersey,08226-4237,United States,,,2157402057,,New Jersey,2026-02-22 21:29:36
4cabbfbc-d07c-40b0-b5f5-fa456c22b7a2,Assembly brewing,planning,,Portland,Oregon,97206-3739,United States,-122.6003912,45.491048,5037299080,http://www.assemblybrewingco.com,Oregon,2026-02-22 21:29:36
e49978bd-c6d2-46c6-a3a4-50964ab4f783,Astronomy Aleworks,planning,,Henderson,Nevada,89011,United States,,,7023754968,http://astronomyaleworks.com,Nevada,2026-02-22 21:29:36
f786b344-af07-4b30-a236-93a93314f9d5,At Ease Brewing,planning,,Sacramento,California,95811-3003,United States,-121.4943996,38.5815719,9167362267,http://www.ateasebrewing.com,California,2026-02-22 21:29:36
01dfa6a1-0ad4-4ac5-a184-1d6c69294460,Athletic Brewing Company,planning,,Stratford,Connecticut,06615-7167,United States,,,2032730422,http://www.AthleticBrewing.com,Connecticut,2026-02-22 21:29:36
87d71c35-9537-4ef1-b232-668bea736ffa,Attic Brewing,planning,,Philadelphia,Pennsylvania,19144-3603,United States,,,7082047376,,Pennsylvania,2026-02-22 21:29:36
b96d27cf-42b8-4791-8fb8-87840016e497,Auburn Brewing Company,planning,,Auburn,Indiana,46706,United States,,,2609081074,,Indiana,2026-02-22 21:29:36
46813d2e-b120-4f43-8957-5e8dfadc603f,Axe And Arrow Brewery,planning,,Glassboro,New Jersey,08028,United States,,,,,New Jersey,2026-02-22 21:29:36
f0ca51bb-ad85-4dca-bd03-eefeb99f1184,Backman Brewing Company,planning,,Whitehouse Station,New Jersey,08889-3562,United States,,,,http://backmanbrewing.com,New Jersey,2026-02-22 21:29:36
9618d4a8-2e33-4025-888d-ecbc0da2a8a5,BackStory Brewery,planning,,Sulphur Springs,Texas,75482-2772,United States,,,,,Texas,2026-02-22 21:29:36
80ed402e-9340-4b10-a478-3d8ed0af93b5,Bad Idea Brewing,planning,,Spring Hill,Tennessee,37174-2895,United States,,,,http://www.badideabrewing.com,Tennessee,2026-02-22 21:29:36
19de43df-8293-4823-b8aa-2dfb285924e8,Baithouse Brewery,planning,,Sandusky,Ohio,44870,United States,,,4193665372,http://www.baithousebrewery.com,Ohio,2026-02-22 21:29:36
1aefb103-ced0-49cb-96c2-b65a2222fb3d,Ballast Point Brewing Company,planning,,Chicago,Illinois,60607,United States,,,,,Illinois,2026-02-22 21:29:36
5794a61e-1fa2-45bd-b317-287ca186b919,Ballast Point Brewing Company,planning,,Anaheim,California,92802-2294,United States,-117.911732,33.8347516,,,California,2026-02-22 21:29:36
7466d420-8ee9-41b1-8794-f9618df77361,Barley Boys Brewery,planning,,Omaha,Nebraska,68144-1922,United States,,,4025986096,http://www.barleyboysbrewery.com,Nebraska,2026-02-22 21:29:36
ddc78de1-9059-45e3-9c38-65e714a96062,Barley Naked Brewing Company,planning,,Stafford,Virginia,22554,United States,,,5406234475,http://www.barleynaked.com,Virginia,2026-02-22 21:29:36
d605f25e-f132-4c42-94cb-0ec7fc4fe50c,Barrel Assembly,planning,,Austin,Texas,78751-3019,United States,,,15124236579,http://www.barrelassembly.com,Texas,2026-02-22 21:29:36
bd4c1883-0fa4-4ebf-84a5-750eeccb7546,Barrie Brewing Company,planning,,Gainesville,Florida,32607-4807,United States,,,,,Florida,2026-02-22 21:29:36
469e0667-cecc-4e07-b27c-443a187baf51,Bastet Brewing,planning,,Tampa,Florida,33613-1254,United States,,,,http://www.bastetbrewing.com,Florida,2026-02-22 21:29:36
a0fe534d-c9f1-4232-88cd-b918d16952d8,Batch Craft Beer and Kolaches,planning,,Austin,Texas,78723,United States,,,5124013025,http://www.batchatx.com,Texas,2026-02-22 21:29:36
cbe608f9-a825-478c-bdab-ef2359ab53c5,BattleHops Brewing,planning,,Katy,Texas,77494,United States,,,8323245284,http://www.battlehopsbrewing.com,Texas,2026-02-22 21:29:36
b39a23d8-56f2-48a3-b505-3f460935ec54,Bay Brewing Company,planning,,Miami,Florida,33130-3488,United States,,,18134763767,,Florida,2026-02-22 21:29:36
fa0b9910-a718-4a33-ace8-59e9def925f6,Bayonet Cider Company,planning,,Pittsburgh,Pennsylvania,15206-5111,United States,,,5134841943,,Pennsylvania,2026-02-22 21:29:36
827042d6-0920-484e-94ae-6f8ef520cd74,BeachFly Brewing Company,planning,,Indian Harbour Beach,Florida,32937,United States,,,3214124900,,Florida,2026-02-22 21:29:36
8f3af559-423d-42c8-903e-fe45750307cb,Beale St Brewing Co,planning,,Memphis,Tennessee,38104-6826,United States,,,9014917197,http://www.bealestbrewing.com,Tennessee,2026-02-22 21:29:36
09e6754a-6a78-486d-8baf-e47ea63612f7,Bear Chase Brewing Company,planning,,Bluemont,Virginia,20135,United States,,,,,Virginia,2026-02-22 21:29:36
7aa429f1-a3c8-4ff8-b2c3-18a451dee621,Beer Religion,planning,,Winter Park,Florida,32792-5111,United States,,,,,Florida,2026-02-22 21:29:36
c351a7a3-6003-4573-962c-16d51a56bd53,Belding Brewing Company,planning,,Belding,Michigan,48809-1678,United States,,,6163086285,,Michigan,2026-02-22 21:29:36
71531995-c5a9-42fc-8e1e-04b3b57f13b5,"Bengal Brewing, LLC.",planning,,Spring Lake Park,Minnesota,55432-2802,United States,,,6125188146,http://www.BengalBrewingLLC.com,Minnesota,2026-02-22 21:29:36
6c10e5ba-1ebd-47b8-a4ce-c41603a6c662,Berts Brewing Co.,planning,,Orange,California,92867-6942,United States,-117.8704931,33.7500378,2069139711,,California,2026-02-22 21:29:36
c86f788e-63b2-44e6-a469-4b2e3a04ba22,Bevel Craft Brewing,planning,,Bend,Oregon,97701-4924,United States,-121.2917516,44.04614868,8313451922,http://www.bevelbeer.com,Oregon,2026-02-22 21:29:36
97bb99d6-94da-4f54-8fe7-9d7d7f102556,Big Ash Brewing Company,planning,,Cincinnati,Ohio,45244-3244,United States,,,5133079688,http://www.BigAshBrewing.com,Ohio,2026-02-22 21:29:36
8c42a9fc-a6c9-4c26-a0d3-0bf8c94be918,Big Data Brewing Company LLC,planning,,Sterling,Virginia,20165-7227,United States,,,5713088293,http://www.bigdatabrewco.com/,Virginia,2026-02-22 21:29:36
dcc9cdb6-415f-4783-aa42-c5cfb7664dc6,Big Inlet Brewing,planning,,Mayville,New York,14757-9730,United States,,,7165737564,http://www.biginletbrewing.com,New York,2026-02-22 21:29:36
96e9ab03-28cd-4240-9ad6-5e49f716d1a0,Big Sioux Brewing Company,planning,,Humboldt,South Dakota,57035-6106,United States,,,,,South Dakota,2026-02-22 21:29:36
106a32d5-54fd-4431-8406-0803aef87605,Bingo Beer Company,planning,2900 W Broad St,Richmond,Virginia,23230,United States,,,8043975226,http://www.bingorva.com/,Virginia,2026-02-22 21:29:36
6cab717d-2883-4869-ab9a-879f09319efb,Black Beak Brewing,planning,,Denver,Colorado,80237-1907,United States,-104.984696,39.7391428,3032107836,,Colorado,2026-02-22 21:29:36
01a7842a-3139-475e-95e9-e5a671c236ef,Black Cat Brewing,planning,,Boulder,Colorado,80302,United States,-105.2705456,40.0149856,,http://www.blackcatbrewing.com,Colorado,2026-02-22 21:29:36
1fab0024-c031-450c-a1b6-48f2a0dd8e9a,Black Magic Brewing,planning,,Fountain Valley,California,92708-6431,United States,-117.9627349,33.7038145,,,California,2026-02-22 21:29:36
08bc0229-4621-4ddd-a27e-8da88d0a5800,Black Wolf Brewing LLC,planning,,Pocono Pines,Pennsylvania,18350,United States,,,,,Pennsylvania,2026-02-22 21:29:36
197c0988-b236-4432-90ad-da75db44166d,Blackhorse Brewery,planning,,Alcoa,Tennessee,37701,United States,,,,,Tennessee,2026-02-22 21:29:36
4d3d6a4a-c914-4a96-8fbc-0dbf582196d8,Blackwater Brewing Company,planning,412 Main Ave S,North Bend,Washington,98045-8117,United States,-121.787569,47.492466,4252929122,https://blackwaterbrewing.com/,Washington,2026-02-22 21:29:36
f1b9daa7-cb17-498a-b784-e2ff41b4257f,BLUE RIDGE BREWING,planning,,Malta,Montana,59538,United States,,,4066542855,,Montana,2026-02-22 21:29:36
e1312a12-35d9-4636-a80a-9f9a95463964,Blue Ridge Community College,planning,,Flat Rock,North Carolina,28731-4774,United States,,,8286941674,http://www.blueridge.edu,North Carolina,2026-02-22 21:29:36
c3d86c65-615c-4d13-9c5d-9f4bc7b5ee64,Blue Zone Brewing Co.,planning,,Saint George,Utah,84790-5716,United States,,,4353135050,,Utah,2026-02-22 21:29:36
0c7d6d42-ad91-4e1c-8556-c1c1ac8617ae,"Bnaf, LLC",planning,,Austin,Texas,78727-7602,United States,,,,,Texas,2026-02-22 21:29:36
941a14d9-f881-4f74-992c-75ab08d5837e,Bob Loblaw Brewing,planning,,Miami,Florida,33179,United States,,,3052495628,http://www.bobloblawbrewing.com,Florida,2026-02-22 21:29:36
5ae387ac-2a8a-4710-81e8-5df49d0c01c5,Bomb Plant Brewing Company,planning,,North Augusta,South Carolina,29860-7462,United States,,,7068042722,http://www.bombplantbrewing.com,South Carolina,2026-02-22 21:29:36
2efab57a-8614-428d-a5e2-a6a528dd6cac,"Bookhouse Brewing, LLC.",planning,,Cleveland,Ohio,44113-3104,United States,,,4144264555,http://www.bookhouse.beer,Ohio,2026-02-22 21:29:36
be59a906-5104-4365-ac07-d9dd7f25f9ae,Box Office Brewery,planning,,Strasburg,Virginia,22657-2238,United States,,,5402333353,http://Info@boxofficebrewery.com,Virginia,2026-02-22 21:29:36
8d5538db-870e-486b-8e03-8c607c38ae18,Braeloch Brewing Company,planning,,Kennett Square,Pennsylvania,19348-3605,United States,,,3026056473,,Pennsylvania,2026-02-22 21:29:36
fb57bce5-e778-441a-bb33-335fda062351,Branagan's Brewery LLC,planning,,Sandy,Utah,84092-3902,United States,,,8018086491,http://www.branagansbrewery.com,Utah,2026-02-22 21:29:36
b5afc4b3-221a-49d5-8e55-c6a374ea45d2,Braselton Brewing Company,planning,,Braselton,Georgia,30517,United States,,,7068701458,,Georgia,2026-02-22 21:29:36
887aaeec-884a-4a60-986a-daf4333cca08,Brasserie L'Etrange,planning,,Prairieville,Louisiana,70769-6114,United States,,,2258002337,,Louisiana,2026-02-22 21:29:36
83ff5520-de51-442e-87d8-6921ba2dcf0a,Braven Brewing Company,planning,,Brooklyn,New York,11237,United States,,,9292956673,,New York,2026-02-22 21:29:36
58d96e3e-6dae-4fae-a383-1a0c2c2edbf1,Bremen Beer Ventures,planning,,Key Biscayne,Florida,33149-7213,United States,,,3059036996,,Florida,2026-02-22 21:29:36
3c666d47-78ff-4e4c-a1f0-c5a9aeb9ad9c,Brewers,planning,,Charlotte,North Carolina,28217,United States,,,,,North Carolina,2026-02-22 21:29:36
e0bf1313-ecf0-45c9-8b70-8ed121ec6a27,Brewery Faisan,planning,,Detroit,Michigan,48207,United States,,,5867032030,http://www.breweryfaisan.com,Michigan,2026-02-22 21:29:36
cdc4b4be-ac3e-4ee8-8d93-87e0d8f14f0c,Brewery Resolute,planning,,Stevens Point,Wisconsin,54481-1843,United States,,,7153214617,,Wisconsin,2026-02-22 21:29:36
4f9d7195-bc11-44ce-bf57-e95f243a7675,Brewheim Brewing Company,planning,,Anaheim,California,92806,United States,-117.911732,33.8347516,,http://www.brewheim.com,California,2026-02-22 21:29:36
4012cd29-7e59-4c75-98ba-89ff53efe702,Brewing Academy Of Montana At FVCC,planning,,Kalispell,Montana,59901,United States,,,4067564359,http://www.fvcc.edu,Montana,2026-02-22 21:29:36
970a920a-26a9-468b-b229-7f8c803f1a9f,Brewjeria Company,planning,,Hacienda Heights,California,91745-1620,United States,-117.9686755,33.9930677,,http://www.brewjeriacompany.com,California,2026-02-22 21:29:36
91edce96-9b05-47fb-b160-efa8f5dfd2c2,"BrewPlan, Inc.",planning,,Onalaska,Wisconsin,54650,United States,,,6083869430,http://www.brewplan.com,Wisconsin,2026-02-22 21:29:36
241eadea-4c86-420f-9ce9-76eb2beed93c,Brewpub In Planning - Birmingham,planning,,Birmingham,Alabama,35222,United States,-86.8024326,33.5206824,2565854531,,Alabama,2026-02-22 21:29:36
34110279-e23c-4e08-b7b1-79da0196ee17,Brighter Day's Brewing Company,planning,,New Port Richey,Florida,34655-3717,United States,,,7272242027,http://www.brighterdaysbeer.com,Florida,2026-02-22 21:29:36
f4daf3e7-c246-47ec-9d2b-6fd01519d8ac,Broad Leaf Farm Brewery,planning,,South Glastonbury,Connecticut,06073-2017,United States,,,2158057228,,Connecticut,2026-02-22 21:29:36
b8852f37-7df8-49d3-aac5-2ef793e589bf,Broken Coat Brewing,planning,,Lake Worth,Florida,33467-1002,United States,,,,,Florida,2026-02-22 21:29:36
6f687fce-bdae-4938-8ad5-3615520d9664,Brubaker's Brewery & Pub,planning,,Sylvania,Ohio,43560-9586,United States,,,,,Ohio,2026-02-22 21:29:36
e869121f-a5be-4382-8243-8a51ab8af429,Buchanan Craft LLC,planning,,Chicago,Illinois,60647-9735,United States,,,6307722199,,Illinois,2026-02-22 21:29:36
80a6159f-2196-4c18-bfdb-4fc34a723524,Buck Bald Brewing Corporation,planning,,Blue Ridge,Georgia,30513,United States,,,7703169971,http://www.buckbaldbrewing.com,Georgia,2026-02-22 21:29:36
