id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,processed_at
4b677b60-fef1-42e2-90ef-dadc1bd7fb06,14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205-2235,United States,-104.9839636,39.7614112,7207731437,http://www.14erBrewing.com,Colorado,2026-02-22 21:29:36
e2ddeea8-03d4-43e7-bfd0-d27797b9d016,3 Sons Brewing Co.,proprietor,236 N Federal Hwy,Dania,Florida,33004-2870,United States,-80.14361029,26.04800238,9546013833,http://www.3sonsbrewingco.com,Florida,2026-02-22 21:29:36
126f87c3-1c6d-4ff0-b35c-c8dfa9a8e1b4,550 Brewing,proprietor,119 E Chuska St,Aztec,New Mexico,87410-2110,United States,-107.9950235,36.8213739,5054861094,http://Www.550brew.com,New Mexico,2026-02-22 21:29:36
1a6103ad-023a-4710-988f-17e47a6732c2,Amalgam Brewing,proprietor,6381 Beach St Unit A,Denver,Colorado,80221-2036,United States,,,,http://www.amalgambrewing.com,Colorado,2026-02-22 21:29:36
7cdb5832-f9fb-421c-b94c-3989c6240894,"Bard's Brewery, LLC",proprietor,,Lees Summit,Missouri,64063-0905,United States,,,8167281707,http://www.bardsbeer.com,Missouri,2026-02-22 21:29:36
c51c96f4-d444-4e83-b332-924d7811d236,BarkEater Craft Brewery,proprietor,5411 Shady Ave,Lowville,New York,13367-1601,United States,-75.4867252,43.7874658,3157758959,http://www.barkeaterbrew.com,New York,2026-02-22 21:29:36
0a857a91-0b76-4850-9594-08938b756d99,Barrel Culture Brewing And Blending,proprietor,4913 S Alston Ave,Durham,North Carolina,27713-4424,United States,-78.88891655,35.89445737,,,North Carolina,2026-02-22 21:29:36
d91eef0b-b1b1-40f8-9895-b92c6e865027,Bellport Brewing Company,proprietor,,Rocky Point,New York,11778-8986,United States,,,6319094457,http://www.bellportbrewing.com,New York,2026-02-22 21:29:36
6ccd6e8a-5d6c-4a5e-a285-57067d8b3a41,Biltmore Brewing Company,proprietor,1 N Pack Sq C/O Biltmore Winery Estates,Asheville,North Carolina,28801-3462,United States,,,8004113812,http://www.biltmore.com,North Carolina,2026-02-22 21:29:36
beebe3c2-f56b-4f0b-ab06-983ac5259c3a,Brazo Fuerte Artisanal Beer,proprietor,15 Main St Ste 125,Watertown,Massachusetts,02472-4403,United States,,,6176008140,http://www.brazofuertebeer.com,Massachusetts,2026-02-22 21:29:36
4694844c-ce2d-411f-9dce-22a5ff52802d,Brew Link Brewing,proprietor,212 E. Main,Plainfield,Indiana,46168-9659,United States,,,3172037788,http://www.brewlinkbrewing.com,Indiana,2026-02-22 21:29:36
badb2bd3-2200-4496-88a9-b2d0af2862af,Bruehol Brewing LLC,proprietor,4828 E 2nd St,Benicia,California,94510-1023,United States,-122.1275637,38.08086313,7073276768,http://www.bruehol.com,California,2026-02-22 21:29:36
